,feature_1,feature_2
68,mapped_feature_7,mapped_feature_10
69,mapped_feature_7,mapped_feature_9
70,mapped_feature_7,mapped_feature_16
73,mapped_feature_8,mapped_feature_10
75,mapped_feature_8,mapped_feature_7
76,mapped_feature_8,mapped_feature_13
77,mapped_feature_8,mapped_feature_4
78,mapped_feature_8,mapped_feature_11
79,mapped_feature_8,mapped_feature_0
81,mapped_feature_8,mapped_feature_1
82,mapped_feature_8,mapped_feature_3
84,mapped_feature_9,mapped_feature_15
85,mapped_feature_9,mapped_feature_17
86,mapped_feature_9,mapped_feature_13
90,mapped_feature_9,mapped_feature_10
93,mapped_feature_9,mapped_feature_3
94,mapped_feature_9,mapped_feature_16
95,mapped_feature_9,mapped_feature_11
96,mapped_feature_9,mapped_feature_1
97,mapped_feature_9,mapped_feature_14
98,mapped_feature_10,mapped_feature_9
100,mapped_feature_10,mapped_feature_3
101,mapped_feature_10,mapped_feature_11
104,mapped_feature_11,mapped_feature_5
105,mapped_feature_11,mapped_feature_12
108,mapped_feature_11,mapped_feature_4
109,mapped_feature_11,mapped_feature_2
111,mapped_feature_12,mapped_feature_1
112,mapped_feature_12,mapped_feature_9
113,mapped_feature_12,mapped_feature_0
114,mapped_feature_12,mapped_feature_5
115,mapped_feature_12,mapped_feature_8
117,mapped_feature_12,mapped_feature_13
118,mapped_feature_12,mapped_feature_14
119,mapped_feature_12,mapped_feature_3
120,mapped_feature_12,mapped_feature_17
122,mapped_feature_12,mapped_feature_16
123,mapped_feature_12,mapped_feature_7
124,mapped_feature_12,mapped_feature_4
125,mapped_feature_12,mapped_feature_2
126,mapped_feature_12,mapped_feature_11
127,mapped_feature_12,mapped_feature_6
128,mapped_feature_12,mapped_feature_10
132,mapped_feature_13,mapped_feature_1
133,mapped_feature_13,mapped_feature_10
135,mapped_feature_13,mapped_feature_4
136,mapped_feature_13,mapped_feature_2
137,mapped_feature_13,mapped_feature_11
138,mapped_feature_13,mapped_feature_17
139,mapped_feature_13,mapped_feature_16
140,mapped_feature_13,mapped_feature_0
141,mapped_feature_13,mapped_feature_15
142,mapped_feature_13,mapped_feature_19
143,mapped_feature_13,mapped_feature_14
144,mapped_feature_14,mapped_feature_5
145,mapped_feature_14,mapped_feature_1
146,mapped_feature_14,mapped_feature_17
147,mapped_feature_14,mapped_feature_6
148,mapped_feature_14,mapped_feature_12
150,mapped_feature_15,mapped_feature_1
152,mapped_feature_15,mapped_feature_16
153,mapped_feature_15,mapped_feature_19
154,mapped_feature_15,mapped_feature_6
155,mapped_feature_15,mapped_feature_4
156,mapped_feature_15,mapped_feature_18
158,mapped_feature_15,mapped_feature_9
159,mapped_feature_15,mapped_feature_0
161,mapped_feature_15,mapped_feature_14
162,mapped_feature_15,mapped_feature_3
163,mapped_feature_15,mapped_feature_8
164,mapped_feature_15,mapped_feature_7
165,mapped_feature_15,mapped_feature_5
167,mapped_feature_16,mapped_feature_18
168,mapped_feature_16,mapped_feature_7
170,mapped_feature_16,mapped_feature_13
172,mapped_feature_16,mapped_feature_9
173,mapped_feature_16,mapped_feature_8
175,mapped_feature_16,mapped_feature_5
176,mapped_feature_16,mapped_feature_12
177,mapped_feature_16,mapped_feature_2
178,mapped_feature_16,mapped_feature_10
180,mapped_feature_16,mapped_feature_17
181,mapped_feature_16,mapped_feature_15
183,mapped_feature_17,mapped_feature_8
184,mapped_feature_17,mapped_feature_1
185,mapped_feature_17,mapped_feature_2
186,mapped_feature_17,mapped_feature_12
189,mapped_feature_17,mapped_feature_9
190,mapped_feature_17,mapped_feature_18
193,mapped_feature_17,mapped_feature_3
194,mapped_feature_17,mapped_feature_14
196,mapped_feature_17,mapped_feature_11
197,mapped_feature_17,mapped_feature_16
198,mapped_feature_17,mapped_feature_13
201,mapped_feature_18,mapped_feature_11
203,mapped_feature_18,mapped_feature_9
205,mapped_feature_18,mapped_feature_1
206,mapped_feature_18,mapped_feature_13
209,mapped_feature_18,mapped_feature_15
210,mapped_feature_18,mapped_feature_12
211,mapped_feature_18,mapped_feature_8
214,mapped_feature_18,mapped_feature_14
215,mapped_feature_18,mapped_feature_16
217,mapped_feature_19,mapped_feature_0
218,mapped_feature_19,mapped_feature_17
