,unmapped_feature_0,unmapped_feature_1,unmapped_feature_2,unmapped_feature_3,unmapped_feature_4,unmapped_feature_5,unmapped_feature_6,unmapped_feature_7,unmapped_feature_8,unmapped_feature_9,unmapped_feature_10,unmapped_feature_11,unmapped_feature_12,unmapped_feature_13,unmapped_feature_14,unmapped_feature_15,unmapped_feature_16,unmapped_feature_17,unmapped_feature_18,unmapped_feature_19,unmapped_feature_20,unmapped_feature_21,unmapped_feature_22,unmapped_feature_23,unmapped_feature_24,unmapped_feature_25,unmapped_feature_26,unmapped_feature_27,unmapped_feature_28,unmapped_feature_29,unmapped_feature_30,unmapped_feature_31,unmapped_feature_32,unmapped_feature_33,unmapped_feature_34,unmapped_feature_35,unmapped_feature_36,unmapped_feature_37,unmapped_feature_38,unmapped_feature_39,unmapped_feature_40,unmapped_feature_41,unmapped_feature_42,unmapped_feature_43,unmapped_feature_44,unmapped_feature_45,unmapped_feature_46,unmapped_feature_47,unmapped_feature_48,unmapped_feature_49
sample_24,0,0,1,2,1,0,2,0,2,1,2,0,2,0,0,1,1,0,1,2,2,2,1,0,2,0,1,1,1,2,2,0,1,1,1,2,0,0,2,2,2,1,2,1,0,0,0,1,1,2
sample_25,1,1,2,0,1,1,2,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,2,0,0,1,2,1,0,0,0,1,0,2,1,1,1,2,0,2,1,0,0,0,0,0,2,1,0,1
sample_26,2,2,2,2,2,2,2,1,1,0,0,0,0,2,1,0,1,2,2,2,1,2,0,1,2,0,0,2,2,0,0,0,2,2,0,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2
sample_27,1,0,0,2,1,2,0,2,2,2,0,2,1,0,0,1,1,1,0,2,0,2,0,0,2,2,2,2,0,0,1,1,1,2,2,2,1,2,2,1,1,2,0,0,0,1,1,0,0,0
sample_28,1,2,1,1,0,1,0,1,2,1,1,0,2,2,1,0,2,1,1,2,0,0,1,0,1,0,2,0,1,0,1,0,1,2,2,2,0,0,0,0,0,2,1,1,0,1,2,2,1,1
sample_29,2,2,0,0,1,0,2,0,2,0,2,0,1,0,1,0,1,0,2,0,2,2,1,1,1,2,1,2,2,2,1,0,0,1,1,1,1,0,2,1,2,2,2,0,0,1,0,2,2,0
sample_30,0,1,0,1,0,0,1,1,0,1,1,0,0,0,2,1,2,1,2,2,1,2,1,2,2,0,0,0,1,1,0,2,1,0,2,2,1,1,1,0,0,0,2,1,2,0,1,2,2,2
sample_31,2,0,2,2,2,1,1,1,0,1,2,1,1,1,0,0,0,0,1,2,1,0,1,0,2,1,1,1,2,2,2,1,2,0,2,1,0,0,1,2,1,0,0,2,0,2,1,0,1,2
sample_32,0,0,2,0,1,1,1,2,0,2,0,2,2,1,1,0,2,2,2,1,1,0,1,1,1,2,0,1,1,1,1,2,1,1,0,2,1,2,2,0,1,0,2,2,2,1,1,0,0,2
sample_33,1,2,1,2,2,0,2,2,1,2,2,1,0,0,1,2,1,1,2,0,0,2,0,0,1,1,1,1,2,2,1,0,0,0,2,2,2,2,1,2,0,0,0,0,0,2,1,0,0,1
sample_34,0,2,2,2,2,2,1,1,1,1,2,1,0,2,2,1,0,0,1,1,2,2,0,0,0,2,2,1,2,1,2,1,1,0,0,2,1,2,2,1,0,2,2,0,1,0,2,0,1,2
sample_35,1,1,2,0,2,0,2,0,1,1,1,0,2,2,0,0,2,0,2,2,1,2,2,0,2,1,1,1,1,1,1,1,2,2,1,0,0,2,1,0,0,1,2,1,1,2,0,0,1,1
sample_36,0,0,0,2,2,1,2,1,2,0,2,0,0,2,1,1,1,0,1,1,2,2,1,1,1,0,2,1,1,0,1,0,2,1,0,2,0,1,0,2,0,1,1,0,1,1,0,0,0,1
sample_37,2,1,0,1,1,0,1,0,0,0,0,0,2,1,1,1,0,1,1,1,1,0,1,1,2,1,2,2,0,0,0,1,0,1,1,1,2,2,2,2,0,1,1,2,0,1,2,1,0,1
sample_38,1,0,0,2,2,2,0,0,1,1,0,2,2,2,2,1,2,1,2,2,0,1,2,0,1,2,2,1,0,2,0,2,1,1,0,0,1,2,0,2,2,1,1,1,2,1,1,0,1,0
sample_39,1,0,1,1,2,0,1,2,2,1,2,0,1,0,0,2,1,2,1,0,1,2,1,2,0,2,1,0,1,1,1,2,0,0,2,0,2,0,1,2,2,0,2,1,0,1,1,1,0,2
sample_40,0,1,1,0,1,0,0,2,2,1,2,2,1,0,2,2,2,1,1,1,0,2,1,1,2,0,1,0,0,2,2,2,0,2,0,1,1,2,1,1,1,0,2,2,0,0,2,2,0,1
sample_41,0,1,2,0,2,1,1,2,2,0,1,0,1,0,1,1,2,1,2,2,2,0,1,1,2,0,0,2,1,1,2,2,0,0,2,0,0,0,1,2,1,0,0,2,2,1,2,0,0,2
sample_42,1,1,2,1,2,2,0,2,2,2,0,0,0,0,1,1,1,1,2,0,0,0,1,2,0,0,1,0,0,2,2,1,2,2,0,0,2,0,1,0,1,1,1,0,1,2,1,2,2,1
sample_43,0,1,0,0,2,0,2,0,2,0,1,0,0,2,2,1,0,1,2,1,0,2,1,0,0,1,1,0,0,2,1,2,0,2,0,1,2,0,0,2,0,1,2,1,0,1,1,0,0,2
sample_44,0,1,2,0,0,2,0,1,0,0,1,1,2,0,2,2,0,0,1,1,1,2,2,0,1,1,0,2,2,0,2,1,1,2,0,2,0,1,2,0,1,0,2,1,0,0,2,1,2,0
sample_45,1,2,0,0,2,1,2,2,2,1,1,0,1,1,0,1,2,1,0,1,0,1,1,1,2,0,1,1,1,1,1,0,0,2,0,2,2,0,0,0,0,2,0,1,0,1,2,0,0,0
sample_46,1,1,2,1,1,1,1,1,2,2,0,0,2,0,0,1,2,2,2,1,1,2,0,2,1,0,0,0,2,2,2,2,0,0,2,0,2,2,1,0,2,0,2,1,1,0,1,1,0,2
sample_47,0,2,0,0,0,2,2,1,2,0,2,1,0,2,0,1,2,0,0,0,0,1,2,1,2,0,1,2,0,2,2,2,1,1,2,0,2,1,0,2,0,0,0,0,0,2,0,2,0,2
sample_48,0,2,2,0,0,1,1,0,2,0,1,2,0,1,2,1,2,0,0,1,0,1,0,0,2,0,2,1,0,0,2,1,2,2,0,2,1,0,0,0,1,1,2,0,1,2,0,2,2,1
sample_49,2,2,1,2,2,0,1,1,1,0,0,1,2,2,2,1,0,0,2,1,0,2,1,1,0,2,2,1,0,0,1,2,2,1,0,2,2,1,2,2,1,1,1,1,1,1,2,2,0,2
sample_50,1,2,1,0,1,0,2,1,1,0,2,0,0,1,0,2,0,0,0,1,0,2,2,2,2,2,1,2,0,2,1,0,0,1,2,1,1,2,1,0,1,1,0,0,0,2,0,0,1,0
sample_51,2,0,1,2,1,0,0,2,0,0,0,2,1,0,1,1,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,2,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,2,1,0
sample_52,1,0,1,2,1,1,0,0,0,2,2,0,2,2,1,1,0,1,0,2,2,2,2,1,1,1,0,2,2,1,0,0,0,1,1,2,2,1,1,2,2,2,1,2,1,0,1,0,0,2
sample_53,2,1,0,1,0,0,2,2,2,2,1,1,1,1,0,2,1,2,1,1,0,0,1,0,2,0,2,0,1,1,1,0,0,1,0,2,2,0,0,0,1,1,2,0,1,1,1,1,0,1
sample_54,1,1,0,1,0,1,0,1,2,0,2,2,1,2,0,1,0,2,1,0,2,1,0,0,0,0,1,2,2,0,1,2,2,2,0,1,1,1,1,0,1,1,2,2,1,1,2,1,1,2
sample_55,2,1,0,0,0,2,0,0,2,1,2,0,1,1,1,0,0,1,2,1,2,1,0,0,0,2,0,0,2,1,2,1,0,1,2,0,1,1,0,0,1,1,2,0,2,1,2,2,1,1
sample_56,1,2,1,2,1,0,0,1,1,2,1,2,0,2,0,0,2,2,0,2,0,1,1,1,0,0,2,1,2,1,2,1,1,1,2,2,0,2,2,0,1,2,2,0,1,2,1,1,0,0
sample_57,1,0,1,2,2,2,1,1,1,1,1,2,2,0,0,1,0,2,0,0,1,2,2,2,1,2,0,0,1,0,1,1,1,1,2,1,0,0,1,2,1,0,1,2,0,2,0,2,0,2
sample_58,2,2,1,2,1,2,0,0,1,1,0,1,0,1,1,0,1,1,2,2,2,0,0,1,0,0,0,0,2,1,2,0,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,0,2
sample_59,0,0,0,1,0,2,0,0,2,1,0,0,0,2,2,2,0,1,0,2,1,0,0,0,2,0,2,1,0,0,0,2,2,0,2,2,0,1,2,1,2,1,0,1,1,1,2,2,1,2
sample_60,0,0,1,2,1,2,0,1,0,2,1,0,0,0,2,0,0,1,1,1,0,0,1,1,0,2,1,1,1,0,2,1,1,1,1,2,2,2,2,0,2,2,2,0,2,0,0,0,0,2
sample_61,2,2,2,0,0,0,2,1,2,1,1,2,0,1,0,0,0,1,2,0,0,1,1,1,2,0,1,2,1,2,2,2,0,2,1,0,1,1,2,1,2,1,0,1,0,1,2,1,0,1
sample_62,2,1,0,0,2,0,1,1,2,0,1,0,1,0,2,1,1,2,2,0,1,2,0,1,2,1,0,0,0,1,2,1,0,1,2,2,1,2,1,1,1,2,2,0,2,1,2,0,2,0
sample_63,0,2,1,0,2,1,0,0,2,2,1,0,2,0,0,2,1,2,0,0,2,2,2,2,1,0,0,0,0,0,1,1,2,0,0,1,0,2,2,0,0,2,1,0,2,2,2,1,1,1
sample_64,1,2,0,2,0,2,0,1,0,2,2,2,0,0,2,2,1,0,2,0,0,0,2,1,2,0,2,1,1,0,0,0,2,0,2,2,0,2,2,2,1,1,0,1,0,2,1,0,1,2
sample_65,0,1,1,2,1,2,1,1,1,1,0,2,1,1,1,0,0,0,0,0,1,2,1,2,2,0,0,0,0,2,2,2,0,1,1,0,1,2,2,2,2,2,2,1,2,2,0,1,2,0
sample_66,1,1,2,1,1,0,1,1,0,1,1,0,1,0,1,2,2,2,2,2,0,0,1,2,2,0,0,2,0,1,1,0,0,1,0,2,0,1,2,0,2,0,1,2,1,2,1,2,2,0
sample_67,2,0,1,1,2,0,1,1,2,1,1,0,1,2,1,2,2,1,1,1,1,1,0,1,0,1,0,0,2,0,1,1,2,0,0,1,2,2,1,1,2,0,2,0,0,2,0,0,0,0
sample_68,2,1,1,0,1,0,2,0,1,2,0,2,1,0,1,1,1,1,1,2,0,1,0,0,2,2,0,2,2,1,1,1,1,0,2,2,0,0,0,2,0,1,2,1,2,2,1,0,2,0
sample_69,1,2,0,0,2,1,1,1,0,2,2,2,0,2,2,1,0,1,1,1,0,0,2,1,2,0,0,2,0,1,2,0,1,2,2,0,0,2,2,1,1,2,1,0,1,0,1,0,2,2
sample_70,1,2,1,2,2,0,2,1,2,0,2,2,1,1,0,1,1,1,2,1,0,2,1,1,0,2,1,2,0,2,2,0,2,0,0,2,0,0,0,2,2,1,0,1,1,1,0,0,1,1
sample_71,1,1,2,0,1,1,1,0,0,2,2,0,0,2,2,0,0,0,0,2,1,1,0,2,0,0,0,2,1,1,2,1,0,0,0,1,0,0,1,1,2,0,0,0,1,2,2,0,1,0
sample_72,1,2,0,1,1,0,1,0,2,1,2,2,0,2,2,0,1,2,0,0,2,0,1,0,2,1,2,0,1,0,1,2,1,1,0,1,1,2,1,1,1,0,0,1,2,2,1,0,1,1
sample_73,0,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,1,2,1,1,0,2,1,2,1,2,2,1,0,2,2,0,0,1,1,2,2,0,2,1,1,0,0,1,1,2,1,1,0,2
sample_74,2,0,0,0,1,2,2,2,0,2,0,2,2,1,1,2,1,2,2,0,0,1,1,1,0,2,2,1,1,0,1,2,1,2,1,2,1,2,1,0,2,1,2,1,2,0,1,1,0,0
sample_75,0,1,2,1,0,0,1,2,2,0,2,0,2,2,0,2,1,1,2,1,0,2,0,2,2,2,1,0,1,1,0,1,0,2,2,1,2,0,1,0,2,1,0,2,0,0,2,1,2,2
sample_76,2,0,2,2,2,1,1,0,0,1,1,2,1,2,0,1,1,0,1,1,0,0,1,0,0,2,0,0,0,2,2,2,2,2,2,2,1,1,1,2,1,2,0,1,0,2,0,1,1,1
sample_77,0,0,1,1,1,2,0,0,1,1,1,2,1,0,0,2,2,2,1,1,2,0,0,1,0,0,2,0,1,1,2,2,0,2,1,1,0,1,0,0,1,0,1,1,1,2,1,0,2,2
sample_78,1,0,0,2,2,0,1,0,1,2,1,2,2,0,2,1,0,0,0,0,1,0,1,2,0,0,1,1,0,1,1,2,1,1,2,2,2,1,2,0,0,2,2,0,0,0,0,1,2,1
sample_79,1,2,1,0,0,0,0,1,1,0,2,0,0,0,2,0,1,0,1,1,0,1,1,0,0,2,0,0,1,0,0,2,2,2,0,0,2,2,1,2,2,1,1,2,2,2,1,0,1,0
sample_80,0,1,2,1,2,1,2,2,1,0,1,1,1,0,2,0,2,0,0,1,1,1,1,2,1,0,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,0,1,1,0,1,1,1,1,2
sample_81,0,1,2,0,1,0,1,2,1,2,1,0,2,2,0,0,0,1,0,2,1,0,0,2,0,0,1,2,1,2,0,2,1,0,2,0,2,2,2,2,0,0,2,0,0,2,2,1,2,1
sample_82,0,1,2,2,0,2,0,2,2,1,2,2,2,0,1,2,1,2,1,1,0,0,0,0,1,2,1,2,2,0,0,1,1,2,2,1,1,2,0,1,1,0,0,1,2,2,0,2,1,1
sample_83,1,2,0,2,0,2,1,0,2,2,2,0,1,2,2,2,2,1,1,2,1,2,0,2,1,2,1,1,2,1,1,0,1,1,0,2,1,1,0,0,0,1,1,2,1,2,0,2,2,1
sample_84,2,1,1,2,2,2,1,1,0,1,2,1,0,2,1,0,2,2,0,1,1,1,1,0,1,0,0,1,0,0,1,2,2,2,1,1,2,1,1,1,1,2,2,0,1,2,1,0,2,1
sample_85,2,1,0,2,2,2,1,2,0,2,1,2,2,2,0,0,0,1,1,2,2,0,0,0,0,0,2,1,0,0,1,1,2,1,0,1,1,2,2,1,0,0,2,2,1,0,2,1,1,0
sample_86,0,0,1,2,0,1,1,2,1,1,0,1,2,0,1,1,0,0,0,0,1,2,0,1,1,1,1,2,0,0,1,0,0,1,2,0,2,1,1,1,2,2,1,1,1,2,2,2,1,2
sample_87,0,0,1,0,1,0,1,2,2,0,2,2,1,1,1,1,0,2,0,2,2,2,2,0,0,0,0,0,0,0,2,2,1,1,2,0,2,2,2,1,2,2,2,1,0,0,1,2,1,1
sample_88,0,1,0,2,0,0,0,2,2,0,0,1,2,1,2,1,0,2,2,1,2,1,1,1,2,2,2,2,2,0,2,2,2,1,0,1,0,0,0,0,1,0,0,1,2,2,2,2,0,0
sample_89,2,2,0,0,0,1,2,1,2,0,0,1,1,0,2,2,2,0,2,0,1,2,0,2,2,2,1,1,0,1,1,2,1,2,1,1,1,1,0,2,2,0,2,0,2,2,2,1,2,1
sample_90,1,0,2,2,0,2,0,0,1,1,1,2,1,0,0,2,0,1,0,1,0,1,2,0,0,0,0,0,1,2,2,0,2,0,1,2,0,0,2,2,1,2,0,0,2,1,1,0,0,1
sample_91,1,1,2,1,1,2,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,2,0,1,0,1,2,1,0,2,1,0,1,0,2,0,1,1,1,1,1,1,1,0
sample_92,2,1,0,0,2,1,0,2,0,2,2,2,0,0,0,1,2,1,0,2,2,0,1,0,0,2,2,0,2,1,1,2,2,2,0,0,0,0,2,1,2,1,1,0,1,0,2,2,0,0
sample_93,1,1,0,2,1,2,0,0,1,1,2,1,2,2,1,2,1,2,2,1,1,0,0,2,0,1,2,0,2,0,0,2,0,2,1,1,2,2,1,2,1,2,0,0,1,2,2,1,1,0
sample_94,0,0,0,0,0,1,0,1,2,0,0,2,2,1,0,1,1,0,1,1,0,2,1,2,2,0,0,1,1,0,2,2,2,1,0,2,1,2,1,0,2,0,1,0,1,1,1,0,1,1
sample_95,0,1,0,1,2,2,2,1,1,0,1,0,1,1,1,0,0,1,0,2,0,1,2,0,0,0,0,0,1,0,0,2,2,1,2,2,1,1,2,2,2,2,2,0,1,1,1,2,1,1
sample_96,2,0,0,0,0,1,1,1,0,2,0,0,2,0,0,1,2,0,0,1,2,0,1,0,0,0,0,1,2,1,1,2,1,1,1,1,0,1,2,0,1,1,2,1,0,1,0,0,2,1
sample_97,0,0,2,1,2,2,1,0,0,2,0,2,0,0,2,2,0,2,0,1,2,2,0,2,1,1,0,2,0,2,1,2,0,1,1,1,1,0,1,0,1,2,2,2,0,1,1,2,1,2
sample_98,2,1,0,0,2,2,1,2,2,2,2,2,1,0,2,0,2,1,1,0,1,0,0,1,2,2,2,2,2,1,0,0,0,1,2,1,1,1,1,0,1,2,0,1,1,1,1,0,0,2
sample_99,0,2,1,2,2,0,0,1,2,1,0,2,1,2,0,2,2,1,0,2,2,2,0,0,1,1,0,2,1,2,2,1,1,0,2,1,1,1,1,0,1,0,0,1,2,0,1,2,0,0
